word,transcription,numLetters,numPhonemes,difference
be,bi:,2,2,0
of,"əv, ɒv",2,2,0
and,"ənd, ænd",3,3,0
to,"tə, tu:",2,2,0
in,ɪn,2,2,0
it,ɪt,2,2,0
he,hi:,2,2,0
not,nɒt,3,3,0
on,ɒn,2,2,0
do,du:,2,2,0
at,"æt, ət",2,2,0
we,wi:,2,2,0
but,"bət, bʌt",3,3,0
from,"frəm, frɒm",4,4,0
as,"əz, æz",2,2,0
an,"ən, æn",2,2,0
say,seɪ,3,3,0
can,"kən, kæn",3,3,0
if,ɪf,2,2,0
get,get,3,3,0
make,meɪk,4,4,0
up,ʌp,2,2,0
out,aʊt,3,3,0
one,wʌn,3,3,0
time,taɪm,4,4,0
take,teɪk,4,4,0
into,"ˈɪntə, ˈɪntu:",4,4,0
about,əˈbaʊt,5,5,0
now,naʊ,3,3,0
just,ʤʌst,4,4,0
any,ˈeni,3,3,0
new,nju:,3,3,0
very,ˈveri,4,4,0
may,meɪ,3,3,0
way,weɪ,3,3,0
such,sʌtʃ,4,4,0
use,ju:z,3,3,0
like,laɪk,4,4,0
how,haʊ,3,3,0
man,mæn,3,3,0
day,deɪ,3,3,0
many,ˈmeni,4,4,0
want,wɒnt,4,4,0
down,daʊn,4,4,0
over,ˈəʊvə,4,4,0
last,lɑ:st,4,4,0
must,"məst, mʌst",4,4,0
child,ʧaɪld,5,5,0
put,pʊt,3,3,0
own,əʊn,3,3,0
great,greɪt,5,5,0
case,keɪs,4,4,0
life,laɪf,4,4,0
system,ˈsɪstəm,6,6,0
same,seɪm,4,4,0
woman,ˈwʊmən,5,5,0
yes,jes,3,3,0
ask,ɑ:sk,3,3,0
company,ˈkʌmpəni,7,7,0
problem,ˈprɒbləm,7,7,0
never,ˈnevər,5,5,0
place,pleɪs,5,5,0
provide,prəˈvaɪd,7,7,0
hand,hænd,4,4,0
why,waɪ,3,3,0
point,pɔɪnt,5,5,0
away,əˈweɪ,4,4,0
end,end,3,3,0
always,ˈɔ:lweɪz,6,6,0
local,ˈləʊkl,5,5,0
state,steɪt,5,5,0
few,fju:,3,3,0
example,ɪgˈzɑ:mpl,7,7,0
begin,bɪˈgɪn,5,5,0
family,ˈfæməli,6,6,0
fact,fækt,4,4,0
help,help,4,4,0
five,faɪv,4,4,0
quite,kwaɪt,5,5,0
run,rʌn,3,3,0
set,set,3,3,0
side,saɪd,4,4,0
home,həʊm,4,4,0
question,ˈkwestʃən,8,8,0
play,pleɪ,4,4,0
pay,peɪ,3,3,0
both,bəʊθ,4,4,0
development,dɪˈveləpmənt,11,11,0
form,fɔrm,4,4,0
second,ˈsekənd,6,6,0
market,ˈmɑ:rkɪt,6,6,0
policy,ˈpɒləsi,6,6,0
london,ˈlʌndən,6,6,0
car,kɑ:r,3,3,0
yet,jet,3,3,0
result,rɪˈzʌlt,6,6,0
line,laɪn,4,4,0
far,fɑ:r,3,3,0
big,bɪg,3,3,0
study,ˈstʌdi,5,5,0
job,ʤɒb,3,3,0
name,neɪm,4,4,0
body,ˈbɒdi,4,4,0
stand,stænd,5,5,0
later,ˈleɪtə,5,5,0
road,rəʊd,4,4,0
rate,reɪt,4,4,0
produce,"prəˈdju:s, ˈprɒdju:s",7,7,0
able,ˈeɪbl,4,4,0
late,leɪt,4,4,0
face,feɪs,4,4,0
public,ˈpʌblɪk,6,6,0
himself,hɪmˈself,7,7,0
bit,bɪt,3,3,0
report,rɪˈpɔ:rt,6,6,0
require,riˈkwaɪə,7,7,0
let,let,3,3,0
once,wʌns,4,4,0
low,ləʊ,3,3,0
sit,sɪt,3,3,0
lot,lɒt,3,3,0
price,praɪs,5,5,0
continue,kənˈtɪnju:,8,8,0
city,ˈsɪti,4,4,0
community,kəmˈju:nəti,9,9,0
cost,kɒst,4,4,0
process,ˈprəʊses,7,7,0
probably,ˈprɒbəbli,8,8,0
remain,rɪˈmeɪn,6,6,0
today,təˈdeɪ,5,5,0
type,taɪp,4,4,0
buy,baɪ,3,3,0
bad,bæd,3,3,0
actually,ˈæktʃuəli,8,8,0
value,ˈvælju:,5,5,0
age,eɪʤ,3,3,0
act,ækt,3,3,0
main,meɪn,4,4,0
send,send,4,4,0
stop,stɒp,4,4,0
industry,ˈɪndəstri,8,8,0
god,gɒd,3,3,0
bank,bæŋk,4,4,0
decide,dɪˈsaɪd,6,6,0
win,wɪn,3,3,0
until,ənˈtɪl,5,5,0
major,ˈmeɪʤə,5,5,0
develop,dɪˈveləp,7,7,0
describe,dɪˈskraɪb,8,8,0
economic,"ˌi:kəˈnɒmɪk, ˌekəˈnɒmɪk",8,8,0
itself,ɪtˈself,6,6,0
paper,ˈpeɪpə,5,5,0
century,ˈsenʧəri,7,7,0
england,ˈɪŋglənd,7,7,0
activity,ækˈtɪvəti,8,8,0
upon,əˈpɒn,4,4,0
around,əˈraʊnd,6,6,0
likely,ˈlaɪkli,6,6,0
real,"ˈri:əl, rɪəl",4,4,0
spend,spend,5,5,0
town,taʊn,4,4,0
plan,plæn,4,4,0
land,lænd,4,4,0
product,ˈprɒdʌkt,7,7,0
create,kriˈeɪt,6,6,0
die,daɪ,3,3,0
hope,həʊp,4,4,0
ground,graʊnd,6,6,0
west,west,4,4,0
role,rəʊl,4,4,0
game,geɪm,4,4,0
event,ɪˈvent,5,5,0
boy,bɔɪ,3,3,0
range,reɪnʤ,5,5,0
trade,treɪd,5,5,0
project,ˈprɒʤekt,7,7,0
club,klʌb,4,4,0
stage,steɪʤ,5,5,0
accept,əkˈsept,6,6,0
wait,weɪt,4,4,0
ten,ten,3,3,0
situation,ˌsɪtʃuˈeɪʃn,9,9,0
lie,laɪ,3,3,0
apply,əˈplaɪ,5,5,0
