i:;m<u>ee</u>t s<u>ea</u> rel<u>ie</u>ve;v
i;onl<u>y</u>;v
ɪ;b<u>i</u>t cl<u>i</u>p b<u>i</u>n ;v
ʊ;l<u>oo</u>k p<u>u</u>t;v
u:;m<u>oo</u>n sh<u>oe</u> r<u>u</u>de;v
e;b<u>e</u>d el<u>e</u>ven h<u>ea</u>d;v
ə;<u>a</u>gain moth<u>er</u> <u>o</u>bedient;v
ɜ:;b<u>i</u>rd p<u>u</u>rple h<u>e</u>r;v
ɔ:;<u>a</u>ll w<u>a</u>r p<u>ou</u>r;v
æ;<u>a</u>pple v<u>a</u>n ;v
ʌ;c<u>u</u>p l<u>u</u>ck fl<u>oo</u>d;v
a:;c<u>a</u>r b<u>a</u>th h<u>ea</u>rt;v
ɒ;d<u>o</u>ctor l<u>o</u>ng w<u>a</u>nd;v
ɪə;b<u>ee</u>r sev<u>e</u>re f<u>ea</u>r;v
eə;b<u>ea</u>r <u>ai</u>r r<u>a</u>re;v
əʊ;b<u>oa</u>t n<u>o</u>se l<u>oa</u>f;v
aʊ;<u>ou</u>t m<u>ou</u>se cr<u>ow</u>d;v
ʊe;p<u>oo</u>r p<u>u</u>re;v
eɪ;gr<u>ea</u>t pl<u>a</u>te f<u>a</u>ce;v
aɪ;m<u>y</u> b<u>uy</u> <u>i</u>ce;v
ɔɪ;b<u>oy</u> depl<u>oy</u> <u>oy</u>ster;v
p;<u>p</u>et sto<u>p</u>;c
f;<u>f</u>ree enou<u>gh</u>;c
t;<u>t</u>op s<u>t</u>ree<u>t</u>;c
θ;<u>th</u>esis brea<u>th</u>;c
b;<u>b</u>ad gra<u>b</u>;c
v;sa<u>v</u>age <u>v</u>et;c
d;<u>d</u>oor ma<u>d</u>;c
ð;<u>th</u>is wea<u>th</u>er;c
tʃ;<u>ch</u>ocolate <u>ch</u>at;c
s;pa<u>ss</u>port <u>s</u>ea;c
ʃ;<u>sh</u>e ca<u>sh</u>;c
k;<u>ch</u>ara<u>c</u>ter <u>k</u>i<u>ck</u>;c
dʒ;<u>j</u>eans ba<u>dg</u>e;c
z;<u>z</u>oo po<u>ss</u>ess;c
ʒ;rou<u>g</u>e televi<u>s</u>ion;c
g;<u>g</u>reen <u>gh</u>ost;c
h;<u>h</u>air with<u>h</u>old;c
m;<u>m</u>at fa<u>m</u>ily;c
n;pe<u>n</u> <u>n</u>ice;c
ŋ;ki<u>ng</u> si<u>ng</u>i<u>ng</u>;c
r;<u>r</u>ead me<u>r</u>it;c
l;<u>l</u>ate c<u>l</u>ean;c
w;<u>w</u>ater a<u>w</u>ake;c
j;<u>y</u>es m<u>u</u>te;c